tokens_stemmed,clean_text_final
"['stasiun', 'ubah', 'jgn', 'stasiun', 'tuju', 'beli', 'pp', 'pulang', 'stasiun', 'sesuai', 'beli', 'repot', 'hrs', 'beli', 'tiket', 'lg']",stasiun ubah jgn stasiun tuju beli pp pulang stasiun sesuai beli repot hrs beli tiket lg
"['pilih', 'bayar', 'kacau', 'pilih', 'bayar', 'ewallet', 'popular', 'kaya', 'gopay', 'ovo', 'dana', 'pake', 'ewallet', 'gatau', 'coba', 'pake', 'gitu', 'bayar', 'bank', 'bank', 'tinggal', 'dibuatin', 'virtual', 'account', 'beres', 'transfer', 'bang', 'kesan', 'kaya', 'bikin', 'niat', 'mudah', 'guna', 'dapet', 'komisi', 'vendor']",pilih bayar kacau pilih bayar ewallet popular kaya gopay ovo dana pake ewallet gatau coba pake gitu bayar bank bank tinggal dibuatin virtual account beres transfer bang kesan kaya bikin niat mudah guna dapet komisi vendor
"['bank', 'bayar', 'ny']",bank bayar ny
"['bayar', 'pakai', 'gopay', 'link', 'qris']",bayar pakai gopay link qris
"['bayar', 'pake', 'blu', 'error', 'gabisa', 'beli', 'tiket']",bayar pake blu error gabisa beli tiket
"['update', 'mulu']",update mulu
"['mass', 'rapid', 'transit', 'mudah', 'ngeribetin', 'suka', 'error', 'beli', 'tiket', 'suka', 'error', 'mending', 'lu', 'benerin', 'bug', 'ken', 'ngomong', 'kasar', 'hadehhh']",mass rapid transit mudah ngeribetin suka error beli tiket suka error mending lu benerin bug ken ngomong kasar hadehhh
"['bayar', 'ribet', 'pake', 'bank', 'blu', 'master', 'card', 'pake', 'blu', 'bisa2', 'pake', 'isa', 'pake', 'pake', 'alat', 'bayar', 'mudah']",bayar ribet pake bank blu master card pake blu bisa2 pake isa pake pake alat bayar mudah
"['gabisa', 'pake', 'bca', 'digital']",gabisa pake bca digital
"['metode', 'bayar', 'ewallet', 'ribet']",metode bayar ewallet ribet
"['fasilitas', 'tunggu', 'minim', 'stasiun', 'fasilitas', 'nyaaa', 'gembel']",fasilitas tunggu minim stasiun fasilitas nyaaa gembel
"['biasa', 'suka', 'log', 'oug', 'hilang']",biasa suka log oug hilang
['nice'],nice
"['bagus', 'enak', 'adem', 'nyaman', 'mudah', 'mes', 'tiket', 'ny', 'pas', 'ulang', 'jakarta', 'juni']",bagus enak adem nyaman mudah mes tiket ny pas ulang jakarta juni
"['semanggat', 'bang']",semanggat bang
['hebaat'],hebaat
"['ngga', 'bayar', 'pakai', 'astrapay', 'loading', 'mulu']",ngga bayar pakai astrapay loading mulu
"['transportasi', 'baru', 'dki', 'jakarta', 'rute', 'lebak', 'bulus', 'tuju', 'bundar', 'arah', 'bundar', 'tuju', 'lebak', 'bulus', 'indorihan']",transportasi baru dki jakarta rute lebak bulus tuju bundar arah bundar tuju lebak bulus indorihan
"['beda', 'lrt', 'mass', 'rapid', 'transit', 'klo', 'salah', 'kereta']",beda lrt mass rapid transit klo salah kereta
"['gajelas', 'buka', 'yutup', 'lancar', 'buka', 'lot', 'jam', 'sibuk', 'server', 'bapuk']",gajelas buka yutup lancar buka lot jam sibuk server bapuk
"['bayar', 'pakai', 'ewalllet', 'bayar', 'pakai', 'qris', 'kode', 'batang', 'unduh', 'biaya', 'transportasi', 'mahal']",bayar pakai ewalllet bayar pakai qris kode batang unduh biaya transportasi mahal
"['suka', 'eror', 'beli', 'tiket']",suka eror beli tiket
"['beli', 'online', 'bagong', 'monopoli', 'metode', 'bayar', 'perintah', 'turun', 'tangan', 'nie', 'salah', 'fasilitas', 'strategis', 'negara']",beli online bagong monopoli metode bayar perintah turun tangan nie salah fasilitas strategis negara
"['tuju', 'bandung', 'aplikasi']",tuju bandung aplikasi
"['susah', 'metode', 'bayar', 'familiar']",susah metode bayar familiar
"['kaga', 'mulu', 'pin', 'kaga', 'gua', 'kaga', 'pulang', 'bangsatt']",kaga mulu pin kaga gua kaga pulang bangsatt
"['metode', 'bayar', 'via', 'gojegdana', 'gitu']",metode bayar via gojegdana gitu
['oke'],oke
"['tuju', 'mass', 'rapid', 'transit', 'masyarakat', 'alih', 'trasnportasi', 'akses', 'pembayaranya', 'kayak', 'klo', 'biat', 'tiket', 'ovo', 'dn', 'gopay', 'skrng', 'laku', 'saku', 'astrapay', 'mass', 'rapid', 'transit', 'baca', 'saran', 'bayar', 'via', 'wallet', 'ovo', 'gopay', 'dana', 'masyarakat', 'transaksi', 'lalu', 'wallet', 'wallet', 'saku', 'astrapay']",tuju mass rapid transit masyarakat alih trasnportasi akses pembayaranya kayak klo biat tiket ovo dn gopay skrng laku saku astrapay mass rapid transit baca saran bayar via wallet ovo gopay dana masyarakat transaksi lalu wallet wallet saku astrapay
"['opsi', 'kembang', 'android', 'aktif', 'pakai', 'kalo', 'opsi', 'kembang', 'android', 'aktif', 'hape', 'lelet', 'main', 'harus', 'opsi', 'kembang', 'non', 'aktif', 'guna', 'guna', 'iphone']",opsi kembang android aktif pakai kalo opsi kembang android aktif hape lelet main harus opsi kembang non aktif guna guna iphone
"['jelek', 'bayar', 'pake', 'bank', 'blu', 'doang', 'astrapay', 'bayak', 'lho', 'jenis', 'bayar']",jelek bayar pake bank blu doang astrapay bayak lho jenis bayar
['bayar'],bayar
"['uptd', 'trs', 'buka', 'bgs', 'eror', 'updt']",uptd trs buka bgs eror updt
[],
"['metode', 'bayar', 'banyak', 'apps', 'jaman', 'ngebatasin', 'guna', 'segitunya']",metode bayar banyak apps jaman ngebatasin guna segitunya
[],
