tokens_stemmed,clean_text_final
"['bayar', 'pake', 'ovo', 'dana', 'males', 'pakenya']",bayar pake ovo dana males pakenya
['repot'],repot
"['ramah', 'biaya', 'unsur', 'politik', 'bisnis', 'males']",ramah biaya unsur politik bisnis males
[],
['mantapp'],mantapp
"['payah', 'opsi', 'bayar', 'link', 'link', 'pindah', 'gopay', 'gopay', 'mohon', 'tingkat']",payah opsi bayar link link pindah gopay gopay mohon tingkat
"['ber', 'kali2', 'reset', 'password', 'tetep', 'bilang', 'salah', 'password', 'heran']",ber kali2 reset password tetep bilang salah password heran
"['dear', 'teamtolong', 'tambah', 'fitur', 'history', 'fitur', 'cek', 'saldo', 'mass', 'rapid', 'transit', 'multi', 'tripterima', 'kasihsemangat', 'team']",dear teamtolong tambah fitur history fitur cek saldo mass rapid transit multi tripterima kasihsemangat team
"['bikin', 'ribet', 'ngilangin', 'metode', 'bayar', 'gopay']",bikin ribet ngilangin metode bayar gopay
"['wallet', 'ovogopay', 'dkk', 'hapus', 'ribet']",wallet ovogopay dkk hapus ribet
"['bikin', 'ribet', 'dah', 'bagus', 'bayar', 'pakai', 'gopayovodana', 'sulit', 'alternatif', 'bayar', 'hilang', 'ewallet']",bikin ribet dah bagus bayar pakai gopayovodana sulit alternatif bayar hilang ewallet
['good'],good
['bantu'],bantu
"['bayar', 'dikit', 'parah']",bayar dikit parah
['coba'],coba
"['bintang', 'yaasaya', 'download', 'apk', 'coba', 'moga', 'muas']",bintang yaasaya download apk coba moga muas
"['mending', 'macem', 'kai', 'acces', 'bayar', 'qris', 'macem2', 'dompet', 'digital', 'dipake']",mending macem kai acces bayar qris macem2 dompet digital dipake
"['ksih', 'bintang', 'bgus', 'ksih', 'bintang']",ksih bintang bgus ksih bintang
"['kesell', 'bngttt', 'bagus2', 'bayar', 'dana', 'tpi', 'dihapuss', 'org', 'tau', 'ngeselin', 'bngtt']",kesell bngttt bagus2 bayar dana tpi dihapuss org tau ngeselin bngtt
"['uninstall', 'karna', 'ngga', 'bayar', 'pake', 'ov', 'gpay']",uninstall karna ngga bayar pake ov gpay
"['bayar', 'pake', 'ovo', 'gopay']",bayar pake ovo gopay
"['kemarin', 'msh', 'bayar', 'pake', 'opsi', 'ovo', 'knp', 'skrng', 'opsi', 'bayar', 'dana', 'ovo', 'knp', 'hrs', 'pke', 'astra', 'pay']",kemarin msh bayar pake opsi ovo knp skrng opsi bayar dana ovo knp hrs pke astra pay
"['guna', 'semenjak', 'bayar', 'batas']",guna semenjak bayar batas
['bagus'],bagus
"['uda', 'pakai', 'ewalet', 'kaya', 'gopay', 'ovo', 'link', 'apusin', 'bisnis', 'bisnis', 'bikin', 'susah', 'guna', 'mass', 'rapid', 'transit']",uda pakai ewalet kaya gopay ovo link apusin bisnis bisnis bikin susah guna mass rapid transit
"['mass', 'rapid', 'transit', 'grade', 'customer', 'mudah', 'accsess', 'mass', 'rapid', 'transit', 'biar', 'transportasi', 'beli', 'tiket', 'ovo', 'dana', 'gopay', 'masyarakat', 'guna', 'juli', 'hilang', 'coba', 'ajar', 'commuter', 'skrg', 'jujur', 'kecewa']",mass rapid transit grade customer mudah accsess mass rapid transit biar transportasi beli tiket ovo dana gopay masyarakat guna juli hilang coba ajar commuter skrg jujur kecewa
['coba'],coba
"['gabung', 'mrl', 'acces', 'donk', 'banyak', 'hp']",gabung mrl acces donk banyak hp
['good'],good
['mantap'],mantap
"['uninstal', 'laah', 'download', 'mudah', 'bayar', 'pake', 'gopay', 'ovo', 'eeh', 'hapus', 'metode', 'bayar', 'bye', 'bye']",uninstal laah download mudah bayar pake gopay ovo eeh hapus metode bayar bye bye
[],
['bagus'],bagus
[],
"['layan', 'professional']",layan professional
['bantu'],bantu
"['rim', 'otp', 'sms', 'sekaliii', 'benerin', 'tim', 'develope']",rim otp sms sekaliii benerin tim develope
"['bijak', 'hilang', 'metode', 'bayar', 'gopayovodana', 'juli', 'bijak', 'manajemen', 'mass', 'rapid', 'transit', 'bodoh', 'jaman', 'purbakala']",bijak hilang metode bayar gopayovodana juli bijak manajemen mass rapid transit bodoh jaman purbakala
"['sulit', 'daftar', 'kode', 'otp', 'kirim']",sulit daftar kode otp kirim
['mantap'],mantap
"['oke', 'boss']",oke boss
"['nunggu', 'otp', 'uninstall']",nunggu otp uninstall
[],
[],
"['nyoba', 'sihh', 'bismillahirrahmanirrahim']",nyoba sihh bismillahirrahmanirrahim
['bagus'],bagus
['good'],good
"['mantaaph', 'kereen']",mantaaph kereen
"['cepat', 'aplikasi']",cepat aplikasi
"['manfaat', 'mass', 'rapid', 'transit']",manfaat mass rapid transit
"['ribet', 'beli', 'tiket', 'pilih', 'st', 'berangkat', 'tuju', 'salah', 'pilihtiket', 'hangus']",ribet beli tiket pilih st berangkat tuju salah pilihtiket hangus
"['dapet', 'kode', 'otp']",dapet kode otp
"['mass', 'rapid', 'transit', 'macet']",mass rapid transit macet
['crooot'],crooot
"['bagus', 'mudah']",bagus mudah
"['mass', 'rapid', 'transit', 'jakarta']",mass rapid transit jakarta
['mantap'],mantap
"['bagus', 'kalo', 'lupa', 'bawa', 'kartu', 'emoney']",bagus kalo lupa bawa kartu emoney
['good'],good
['bagus'],bagus
[],
['jos'],jos
"['daftar', 'kode', 'otp', 'dpt2', 'guna']",daftar kode otp dpt2 guna
"['otp', 'registrasi', 'login', 'via', 'google', 'aplikasi', 'suka', 'freeze', 'minimal', 'kasih', 'loading', 'gitu', 'fe', 'bug', 'critical', 'production', 'qa', 'product', 'managernya']",otp registrasi login via google aplikasi suka freeze minimal kasih loading gitu fe bug critical production qa product managernya
['keren'],keren
"['ampe', 'ngising', 'beling', 'kode', 'otp', 'kirim']",ampe ngising beling kode otp kirim
[],
['juosss'],juosss
"['daftar', 'kode', 'otp', 'bisa2dari', 'pagi', 'ampe', 'sore']",daftar kode otp bisa2dari pagi ampe sore
"['bagus', 'publik']",bagus publik
"['terang', 'kirim', 'otp', 'saat', 'registrasi', 'jelas', 'otp', 'kirim', 'whatsapp', 'tulis', 'kirim', 'whatsapp', 'tulis', 'sms', 'masuk', 'whatsapp', 'gimana']",terang kirim otp saat registrasi jelas otp kirim whatsapp tulis kirim whatsapp tulis sms masuk whatsapp gimana
['bangga'],bangga
"['anis', 'rasyid', 'baswedan', 'terimakasih']",anis rasyid baswedan terimakasih
[],
['good'],good
"['kereen', 'mass', 'rapid', 'transit', 'jakarta']",kereen mass rapid transit jakarta
"['terimakasih', 'mass', 'rapid', 'transit', 'jakarta', 'layan', 'baik', 'singkat', 'hp', 'mati', 'stistora', 'mandiri', 'gagal', 'top', 'saldo', 'emoneyjadinya', 'mba', 'cindy', 'tugas', 'stistora', 'mandiri', 'tawar', 'charge', 'hpnya', 'menit', 'gitu', 'jaring', 'hpku', 'hilang', 'eh', 'mbanya', 'nawarin', 'hotspot', 'karna', 'kalo', 'wifi', 'st', 'login', 'lamaaa', 'alhamdulillah', 'pulang', 'karna', 'layan', 'angkat', 'mba', 'cindy', 'organik', 'orang', 'pelayananny', 'maksimal']",terimakasih mass rapid transit jakarta layan baik singkat hp mati stistora mandiri gagal top saldo emoneyjadinya mba cindy tugas stistora mandiri tawar charge hpnya menit gitu jaring hpku hilang eh mbanya nawarin hotspot karna kalo wifi st login lamaaa alhamdulillah pulang karna layan angkat mba cindy organik orang pelayananny maksimal
['mantap'],mantap
['keren'],keren
"['mantap', 'lolos', 'tiket', 'scan', 'masuk']",mantap lolos tiket scan masuk
['baik'],baik
['manthaabzzz'],manthaabzzz
"['moga', 'berkah']",moga berkah
['keren'],keren
['good'],good
['kocak'],kocak
"['bantu', 'apknya']",bantu apknya
['good'],good
['good'],good
['good'],good
['mantap'],mantap
[],
['trimksh'],trimksh
['mantap'],mantap
"['sistem', 'teknologi', 'sgt', 'jelek', 'flexible', 'account', 'gagal', 'hubung', 'metode', 'bayar', 'ewallet', 'apa', 'nomor', 'handphone', 'ewallet', 'beda', 'dg', 'nomor', 'account', 'trdaftar', 'du', 'hapus', 'akun', 'apliasi', 'matang', 'pasar', 'go', 'public', 'resah']",sistem teknologi sgt jelek flexible account gagal hubung metode bayar ewallet apa nomor handphone ewallet beda dg nomor account trdaftar du hapus akun apliasi matang pasar go public resah
"['susah', 'login']",susah login
"['keren', 'aplikasinys']",keren aplikasinys
['manfaat'],manfaat
[],
"['transportasi', 'modern', 'cepat', 'mudah', 'murah']",transportasi modern cepat mudah murah
['good'],good
['keren'],keren
"['mudah', 'simple', 'trims', 'anies']",mudah simple trims anies
[],
[],
[],
['berguba'],berguba
['nice'],nice
"['guna', 'terimakasih', 'info']",guna terimakasih info
['bagus'],bagus
['mantab'],mantab
"['sy', 'ksh', 'bintang', 'coba', 'mass', 'rapid', 'transit']",sy ksh bintang coba mass rapid transit
"['good', 'job']",good job
"['bantu', 'jalan', 'nyaman', 'bersih']",bantu jalan nyaman bersih
[],
"['praktis', 'ekonomis']",praktis ekonomis
[],
"['otp', 'masuk2']",otp masuk2
"['barakallohu', 'bantu']",barakallohu bantu
"['lrt', 'best', 'lancar', 'sukses', 'lrt']",lrt best lancar sukses lrt
['bagus'],bagus
['top'],top
['mantab'],mantab
['mudah'],mudah
[],
['tingkat'],tingkat
"['simple', 'ribet']",simple ribet
['mantap'],mantap
"['oke', 'moda', 'transportasi', 'modern']",oke moda transportasi modern
"['mass', 'rapid', 'transit', 'kerennn']",mass rapid transit kerennn
"['lok', 'emang', 'iya', 'ntar', 'full']",lok emang iya ntar full
['mantap'],mantap
"['download', 'tau', 'moga', 'bantu', 'mksh']",download tau moga bantu mksh
[''],
['kerennn'],kerennn
"['bagus', 'mudah', 'costumer']",bagus mudah costumer
[],
"['kocak', 'login', 'google']",kocak login google
"['kode', 'otp', 'muncul', 'ulang', 'ttp']",kode otp muncul ulang ttp
"['senang', 'transportasi', 'mudah', 'transportasi', 'simple', 'cepat']",senang transportasi mudah transportasi simple cepat
"['moga', 'mudah', 'gerak', 'giat', 'warga', 'jakart']",moga mudah gerak giat warga jakart
[],
['tau'],tau
['mantap'],mantap
"['good', 'apps']",good apps
['muantab'],muantab
"['good', 'news']",good news
['puas'],puas
['mantaps'],mantaps
['jos'],jos
['bagus'],bagus
"['parah', 'daftar', 'masukin', 'pin', 'cek', 'nomer', 'hp', 'email']",parah daftar masukin pin cek nomer hp email
['guna'],guna
['okey'],okey
['mantap'],mantap
"['mudah', 'bantu']",mudah bantu
[],
"['daftar', 'pakai', 'email', 'nomor', 'telepon', 'kode', 'otp', 'masuk', 'koq', 'kode', 'otp', 'tibatiba', 'aplikasi', 'ngelag', 'kirim', 'wa', 'otpnya', 'pas', 'daftar', 'register', 'failed', 'daftar', 'kaya', 'gimana', 'nyerah', 'pikir', 'maintenance']",daftar pakai email nomor telepon kode otp masuk koq kode otp tibatiba aplikasi ngelag kirim wa otpnya pas daftar register failed daftar kaya gimana nyerah pikir maintenance
['great'],great
"['senang', 'keluarga', 'tuju', 'cepat', 'biaya', 'murah']",senang keluarga tuju cepat biaya murah
"['jelasudah', 'dimasukin', 'otpnya', 'bener', 'tetep', 'wkwkwk', 'milik', 'negara', 'kwalitas', 'jelek', 'dwitnya', 'korup']",jelasudah dimasukin otpnya bener tetep wkwkwk milik negara kwalitas jelek dwitnya korup
['lola'],lola
[],
[],
"['bug', 'pas', 'login']",bug pas login
[],
"['ngebug', 'anjing']",ngebug anjing
"['payah', 'kode', 'otp', 'gamasuk2']",payah kode otp gamasuk2
['mntap'],mntap
"['moga', 'lancar', 'ubah', 'rating', 'ketemu', 'bug']",moga lancar ubah rating ketemu bug
[],
"['sering2', 'ngk', 'bsa', 'akses', 'cri', 'mudah', 'sulit']",sering2 ngk bsa akses cri mudah sulit
"['info', 'kirim', 'nomer', 'konfirmasi', 'data', 'nomer', 'telepon', 'info', 'whats']",info kirim nomer konfirmasi data nomer telepon info whats
"['keren', 'nieh', 'pakai', 'bantu']",keren nieh pakai bantu
[''],
[],
"['mafia', 'boss', 'nyonya']",mafia boss nyonya
['good'],good
[],
"['bravo', 'mass', 'rapid', 'transit', 'maju', 'pantang', 'mundur', 'jakarta']",bravo mass rapid transit maju pantang mundur jakarta
['coba2'],coba2
['keren'],keren
['bagus'],bagus
"['pagi', 'login', 'beli', 'tiket', 'stasiun', 'mass', 'rapid', 'transit', 'lebak', 'bulus', 'buka', '', 'beli', 'kartu', 'mtt', 'stasiun', 'rugi', 'ribu', 'jalan', 'kantor', 'jadi', 'kyk', 'gin', 'kali', 'untung', 'gede', 'yaaa']",pagi login beli tiket stasiun mass rapid transit lebak bulus buka  beli kartu mtt stasiun rugi ribu jalan kantor jadi kyk gin kali untung gede yaaa
"['dipake', 'arang', 'pakai', 'otw', 'grab']",dipake arang pakai otw grab
[''],
['good'],good
['mantap'],mantap
"['ribet', 'registrasi']",ribet registrasi
['bantu'],bantu
[],
['niceee'],niceee
"['daftar', 'gimana', 'si', 'nyuruh', 'orang', 'beli', 'tiket', 'akses', 'pake', 'gabisa', 'registrasi', 'kalo', 'bikin', 'insfastruktur', 'fasilitas', 'paket']",daftar gimana si nyuruh orang beli tiket akses pake gabisa registrasi kalo bikin insfastruktur fasilitas paket
['keren'],keren
"['good', 'transportation']",good transportation
['keren'],keren
"['mass', 'rapid', 'transit', 'jakarta']",mass rapid transit jakarta
"['gabisa', 'log', 'aneh']",gabisa log aneh
['mantap'],mantap
"['bru', 'pake', 'kendala']",bru pake kendala
['mantap'],mantap
"['regis', 'manual', 'dikirim2', 'kode', 'coba', 'login', 'gmail', 'baik', 'sistem']",regis manual dikirim2 kode coba login gmail baik sistem
['senang'],senang
"['kode', 'otp', 'kirim', 'login', 'via', 'google', 'parah']",kode otp kirim login via google parah
"['lot', 'tiket', 'mahal', 'mass', 'rapid', 'transit', 'turunin', 'harga', 'tiket', 'oon']",lot tiket mahal mass rapid transit turunin harga tiket oon
"['register', 'kirim', 'otp', 'wa', 'tulis', 'kirim', 'sms']",register kirim otp wa tulis kirim sms
"['daftar', 'mudah', 'cepat', 'coba', 'aplikasi']",daftar mudah cepat coba aplikasi
['dahsyat'],dahsyat
['good'],good
[],
"['susah', 'daftar', 'ny']",susah daftar ny
"['daftar', 'susdah', 'muncul', 'kode', 'sms']",daftar susdah muncul kode sms
"['good', 'job']",good job
['faster'],faster
['mudah'],mudah
['mantaap'],mantaap
[],
"['update', 'melulu', 'lot', 'parah', 'heran']",update melulu lot parah heran
"['relogin', 'gantireset', 'password', 'bilang', 'salah', 'abis', 'reset']",relogin gantireset password bilang salah abis reset
['mantap'],mantap
"['donk', 'developer', 'baik', 'teknis', 'kode', 'referalnya', 'muncul', 'muncul', 'maaaf', 'diksh', 'bintang', 'mudah', 'mass', 'rapid', 'transit', 'sulit']",donk developer baik teknis kode referalnya muncul muncul maaaf diksh bintang mudah mass rapid transit sulit
['top'],top
['mantap'],mantap
['good'],good
"['tunjang', 'transportasi', 'handal', 'solusi', 'cegah', 'tambah', 'macet']",tunjang transportasi handal solusi cegah tambah macet
"['kode', 'otpnya', 'muncul']",kode otpnya muncul
"['wih', 'keren', 'ngebantu']",wih keren ngebantu
"['good', 'apps']",good apps
"['good', 'right', 'succeses', 'full']",good right succeses full
"['alam', 'teman', 'menciba', 'mass', 'rapid', 'transit']",alam teman menciba mass rapid transit
"['layan', 'bagus']",layan bagus
['oke'],oke
['keren'],keren
"['moga', 'guna']",moga guna
['bagus'],bagus
[],
[],
"['pake', 'kode', 'verif', 'lwt', 'sms', 'muncul2']",pake kode verif lwt sms muncul2
['good'],good
['mantap'],mantap
['mantap'],mantap
['goodlah'],goodlah
"['niat', 'bikin', 'nau', 'dftr', 'kaga']",niat bikin nau dftr kaga
"['layan', 'jual', 'ticket', 'buka']",layan jual ticket buka
[],
['mantap'],mantap
['jos'],jos
['good'],good
[],
['good'],good
['mantab'],mantab
[],
"['cepat', 'nyaman', 'aman']",cepat nyaman aman
"['good', 'job']",good job
['mantap'],mantap
"['login', 'via', 'akun', 'google', 'daftar', 'akun', 'paa', 'konfirmasi', 'sms', 'masuk', 'niat', 'bikin']",login via akun google daftar akun paa konfirmasi sms masuk niat bikin
['keren'],keren
"['transportasi', 'jakarta', 'bantu', 'mass', 'rapid', 'transit', 'jakarta', 'mudah', 'guna', 'transportasi']",transportasi jakarta bantu mass rapid transit jakarta mudah guna transportasi
[],
"['mudah', 'jangkau']",mudah jangkau
"['blom', 'coba', 'smoga', 'aplikasi', 'mudah', 'jalan', '']",blom coba smoga aplikasi mudah jalan 
[],
"['bagus', 'bantu', 'terimakasih']",bagus bantu terimakasih
['ribet'],ribet
['mantap'],mantap
['ntaps'],ntaps
['bagus'],bagus
"['keren', 'mass', 'rapid', 'transit', 'jakarta']",keren mass rapid transit jakarta
['good'],good
"['bikin', 'akun', 'gabisa', 'otp', 'capek']",bikin akun gabisa otp capek
"['validasi', 'via', 'sms', 'email', 'bikin', 'akun', 'parah', 'pagi', 'siang', 'malam', 'coba', 'tetep', 'gagal']",validasi via sms email bikin akun parah pagi siang malam coba tetep gagal
"['ngak', 'aplikasi', 'install', 'pas', 'akun', 'kode', 'kirim', 'hp', 'ngak', 'masuk2', 'install', 'uninstall', '3x', 'ngak', 'akun']",ngak aplikasi install pas akun kode kirim hp ngak masuk2 install uninstall 3x ngak akun
[],
"['jitu', 'hindar', 'macet']",jitu hindar macet
['mantap'],mantap
"['pnya', 'usaha', 'samping', 'jual', 'hp', '2nd', 'ngandelin', 'mass', 'rapid', 'transit', 'meet', 'beli', 'stasiun', 'meet', 'cod', 'pintu', 'batas', 'tap', 'masuk', 'mass', 'rapid', 'transit', 'kluar', 'stasiun', 'sy', 'lakuin', 'pas', 'stasiun', 'tmpat', 'tap', 'prnah', 'beli', 'tiket', 'kali', 'tap', 'kluar', 'trus', 'tugas', 'cewek', 'pke', 'hijab', 'kacamata', 'mass', 'rapid', 'transit', 'blok', 'jam', 'beli', 'tiket', 'tap']",pnya usaha samping jual hp 2nd ngandelin mass rapid transit meet beli stasiun meet cod pintu batas tap masuk mass rapid transit kluar stasiun sy lakuin pas stasiun tmpat tap prnah beli tiket kali tap kluar trus tugas cewek pke hijab kacamata mass rapid transit blok jam beli tiket tap
['bug'],bug
"['lumayan', 'bantu']",lumayan bantu
"['transportasi', 'publik', 'nyaman', 'cepat']",transportasi publik nyaman cepat
['good'],good
['bagus'],bagus
"['mudah', 'kali', 'naek', 'mass', 'rapid', 'transit', 'bayar', 'pake', 'link']",mudah kali naek mass rapid transit bayar pake link
['bantu'],bantu
"['transportasi', 'bagus']",transportasi bagus
['good'],good
"['kode', 'otp', 'salah', 'etik', 'sesuai', 'kirim']",kode otp salah etik sesuai kirim
"['sya', 'bom', 'coba', 'apknya', 'sya', 'memeberikan', 'bintang', 'kerja', 'karna', 'kartu', 'mrtnya', 'terimakasih', 'bpk']",sya bom coba apknya sya memeberikan bintang kerja karna kartu mrtnya terimakasih bpk
[],
"['sedia', 'masker', 'langgan', 'masker', 'putusrobektdk', 'sesuai', 'suruh', 'beli', 'diindomaret', 'mass', 'rapid', 'transit', 'sedia', 'stok', 'ganggu', 'nyaman', 'langgan']",sedia masker langgan masker putusrobektdk sesuai suruh beli diindomaret mass rapid transit sedia stok ganggu nyaman langgan
"['mudah', 'cepat']",mudah cepat
['good'],good
['kereennnn'],kereennnn
['bagis'],bagis
"['bagus', 'mudah']",bagus mudah
['mantap'],mantap
['mantab'],mantab
['mantap'],mantap
['good'],good
"['moga', 'manfaat']",moga manfaat
['bantu'],bantu
"['mantap', 'tolong', 'beli', 'kartu', 'bawa', 'anak', 'scan', 'beres']",mantap tolong beli kartu bawa anak scan beres
"['mantap', 'mass', 'rapid', 'transit', 'jakarta']",mantap mass rapid transit jakarta
['bagus'],bagus
"['tahan', 'prestasi', 'mu', 'tingkat', 'layan']",tahan prestasi mu tingkat layan
['mudah'],mudah
['mudah'],mudah
"['otp', 'lancat']",otp lancat
['mantab'],mantab
"['alam', 'nieehhhsemoga', 'seru', 'senang']",alam nieehhhsemoga seru senang
['keren'],keren
"['mudah', 'apalikasinya']",mudah apalikasinya
"['nyaman', 'bersih', 'tempuh', 'bagus']",nyaman bersih tempuh bagus
"['easy', 'praktis']",easy praktis
[],
"['bagus', 'manfaat']",bagus manfaat
"['download', 'coba', 'fitur2']",download coba fitur2
"['mass', 'rapid', 'transit', 'history', 'jalan']",mass rapid transit history jalan
"['oke', 'pokoke']",oke pokoke
"['payah', 'aplikasi']",payah aplikasi
['bagus'],bagus
[],
"['nyaman', 'transportasi', 'publik']",nyaman transportasi publik
['good'],good
"['moga', 'manfaat']",moga manfaat
['naice'],naice
[],
['awesome'],awesome
"['stasiun', 'bhi', 'mantap']",stasiun bhi mantap
[],
"['aplikaainya', 'bikin', 'panik', 'failed', 'load', 'server']",aplikaainya bikin panik failed load server
['top'],top
['moga'],moga
['top'],top
"['tingkat', 'layan']",tingkat layan
['good'],good
[],
[],
"['moga', 'lancar', 'aq', 'pernqh', 'coba']",moga lancar aq pernqh coba
"['registrasi', 'ribet']",registrasi ribet
"['daftar', 'pakai', 'ni', 'minggu', 'pas', 'login', 'error', 'apps', 'emang', 'beda', 'rada', 'niat', 'bikin', 'mudah', 'super', 'ribet', 'error']",daftar pakai ni minggu pas login error apps emang beda rada niat bikin mudah super ribet error
"['aplikadi', 'bego', 'download', 'eror']",aplikadi bego download eror
"['error', 'harap', 'baik', 'cepat']",error harap baik cepat
"['rip', 'digit', 'code']",rip digit code
"['jelek', 'bet', 'asli']",jelek bet asli
"['bos', 'kalo', 'release', 'cek', 'internal', 'masuk', 'release', 'publik', 'pake', 'palsu', 'muji2']",bos kalo release cek internal masuk release publik pake palsu muji2
[],
"['applikasi', 'payahtutup', 'aj', 'katro', 'registrasi', 'ulang']",applikasi payahtutup aj katro registrasi ulang
"['amazing', 'love', 'bngt']",amazing love bngt
['daftar'],daftar
['jioss'],jioss
['alhamdulillah'],alhamdulillah
[],
['bantu'],bantu
['mantap'],mantap
['bagus'],bagus
"['mudah', 'mantap']",mudah mantap
"['bagus', 'mudah', 'bayar']",bagus mudah bayar
"['mantap', 'dah', 'mass', 'rapid', 'transit', 'jakarta']",mantap dah mass rapid transit jakarta
[],
"['mudah', 'bantu']",mudah bantu
['bagus'],bagus
[],
"['bintang', 'coba']",bintang coba
"['aplikasi', 'error', 'daftar']",aplikasi error daftar
['coba'],coba
[],
['mantap'],mantap
['good'],good
"['jokowi', 'thanks']",jokowi thanks
"['bagus', 'daftar', 'kode', 'kirim', 'whatsapp', 'kirim', 'coba', 'kirim', 'ulang', 'kirim', 'nomor', 'hape', 'notif', 'email']",bagus daftar kode kirim whatsapp kirim coba kirim ulang kirim nomor hape notif email
"['payment', 'gagal', 'internet', 'lancar']",payment gagal internet lancar
"['mass', 'rapid', 'transit', 'jakarta', 'oke']",mass rapid transit jakarta oke
['apik'],apik
"['transportasi', 'keren', 'jakarta', 'rekomended']",transportasi keren jakarta rekomended
[],
"['guna', 'moga', 'benarbenar', 'bantu', 'jalan']",guna moga benarbenar bantu jalan
"['keren', 'efisein']",keren efisein
['mantap'],mantap
"['urus', 'warga', 'mudah', 'ayom']",urus warga mudah ayom
"['sangatt', 'bagus']",sangatt bagus
"['akses', 'mudah']",akses mudah
"['manfaat', 'bgttt']",manfaat bgttt
"['kacau', 'mass', 'rapid', 'transit', 'telat', '4menit', 'masuk', 'beli', 'tiket', 'tiket', 'refoud']",kacau mass rapid transit telat 4menit masuk beli tiket tiket refoud
"['dukung', 'user', 'mass', 'rapid', 'transit']",dukung user mass rapid transit
['failed'],failed
"['mass', 'rapid', 'transit', 'jalan']",mass rapid transit jalan
"['best', 'transportasi']",best transportasi
['goooddd'],goooddd
"['keren', 'bantu', 'maju', 'mass', 'rapid', 'transit', 'jakarta']",keren bantu maju mass rapid transit jakarta
['error'],error
['coba'],coba
['bagus'],bagus
[],
"['proses', 'buat', 'akun', 'mudah']",proses buat akun mudah
['mantap'],mantap
"['ngelag', 'kali', 'kali', 'tahap', 'verifikasi']",ngelag kali kali tahap verifikasi
"['otp', 'berkalikali', 'gagal', 'bobot', 'bikin', 'kaya', 'payah']",otp berkalikali gagal bobot bikin kaya payah
['good'],good
['terimakasih'],terimakasih
"['nyaman', 'tepat']",nyaman tepat
['bagus'],bagus
['mantappp'],mantappp
"['neng', 'mass', 'rapid', 'transit', 'nyaman', 'dancepat']",neng mass rapid transit nyaman dancepat
[],
"['daftartrus', 'kehapusdownload', 'ulang', 'pas', 'login', 'bisamasa', 'ganti', 'hp', 'emailbijimana', 'neh']",daftartrus kehapusdownload ulang pas login bisamasa ganti hp emailbijimana neh
['keren'],keren
['oke'],oke
['mbagus'],mbagus
"['baik', 'tahan', 'opsional']",baik tahan opsional
['bantu'],bantu
"['mass', 'rapid', 'transit', 'cobq', 'pake']",mass rapid transit cobq pake
['mantap'],mantap
"['nice', 'application']",nice application
"['baguss', 'aplikasi', 'isi', 'informasi', 'erti']",baguss aplikasi isi informasi erti
['good'],good
['moga'],moga
[],
['lumayan'],lumayan
['best'],best
[],
['great'],great
"['nyaman', 'layan', 'muas']",nyaman layan muas
"['bad', 'ui']",bad ui
[],
"['bagus', 'manfaat']",bagus manfaat
[],
"['masalah', 'tiba2', 'akun', 'hapus']",masalah tiba2 akun hapus
[],
"['manfaat', 'apk', 'rombong', 'satpam', 'ramah', 'proses', 'scan', 'cepat']",manfaat apk rombong satpam ramah proses scan cepat
"['bener', 'bug', 'dah']",bener bug dah
"['serius', 'aktif', 'beli', 'jam', 'sesuai', 'tanggal', 'yah', 'beli', 'jam', 'pagi', 'expired', 'jam', 'pagi']",serius aktif beli jam sesuai tanggal yah beli jam pagi expired jam pagi
['good'],good
[],
['good'],good
['skem'],skem
['mantap'],mantap
[],
"['kecewa', 'si', 'dg', 'apk', 'dn', 'layan', 'wa', 'solusi', 'saran', 'kdpnnya', 'org', 'salah', 'pilih', 'tuju', 'hrs', 'edit', 'trus', 'hrs', 'saldo', 'kmbali', 'angus', 'layan', 'wa', 'hnya', 'nnya', 'compln', 'tanggap', 'dn', 'langsung', 'cakap', 'tnpa', 'info', 'si', 'compln', 'kaya', 'nyesel', 'asa', 'yah', 'ganti', 'tuh', 'tuju', 'skrg', 'jujur', 'kecewa', 'si', 'smpah']",kecewa si dg apk dn layan wa solusi saran kdpnnya org salah pilih tuju hrs edit trus hrs saldo kmbali angus layan wa hnya nnya compln tanggap dn langsung cakap tnpa info si compln kaya nyesel asa yah ganti tuh tuju skrg jujur kecewa si smpah
"['akun', 'hapus']",akun hapus
['manfaat'],manfaat
"['akun', 'tiba2', 'hapus', 'trus', 'pas', 'coba', 'daftar', 'pake', 'email', 'gabisa', 'masuk', 'gmail', 'gabisa', 'tulis', 'dibenerin', 'gilir', 'dibutuhin', 'nyusahin']",akun tiba2 hapus trus pas coba daftar pake email gabisa masuk gmail gabisa tulis dibenerin gilir dibutuhin nyusahin
['good'],good
['akakakaama'],akakakaama
"['transportasi', 'massal', 'cepat', 'nyaman', 'integrasi', 'modal', 'transportasi']",transportasi massal cepat nyaman integrasi modal transportasi
[],
['ngga'],ngga
['zahrah'],zahrah
['bagus'],bagus
[],
"['mosok', 'akun', 'hapus']",mosok akun hapus
"['kereennn', '']",kereennn 
"['masuk', 'kode', 'otp', 'salah']",masuk kode otp salah
"['tiba2', 'bayar', 'oakai', 'gopay', 'daftar', 'ulang', 'pakai', 'nomor', 'hadeh']",tiba2 bayar oakai gopay daftar ulang pakai nomor hadeh
"['mudah', 'bagus', 'mass', 'rapid', 'transit', 'jakarta']",mudah bagus mass rapid transit jakarta
